Date,CommodityContract,Value (Rs. In Lakhs),Traded Contracts (in Lots),SegmentName
8-Feb-16,GOLD         ,661954.94,23592,PRECIOUS METAL PRODUCTS
9-Feb-16,GOLD         ,628014.57,22140,PRECIOUS METAL PRODUCTS
10-Feb-16,GOLD         ,602747.02,21372,PRECIOUS METAL PRODUCTS
11-Feb-16,GOLD         ,1049582.76,35734,PRECIOUS METAL PRODUCTS
12-Feb-16,GOLD         ,602603.65,20404,PRECIOUS METAL PRODUCTS
15-Feb-16,GOLD         ,481650.7,16727,PRECIOUS METAL PRODUCTS
16-Feb-16,GOLD         ,676113.32,23461,PRECIOUS METAL PRODUCTS
17-Feb-16,GOLD         ,481561.99,16674,PRECIOUS METAL PRODUCTS
18-Feb-16,GOLD         ,535619.08,18489,PRECIOUS METAL PRODUCTS
19-Feb-16,GOLD         ,581310.39,19726,PRECIOUS METAL PRODUCTS
22-Feb-16,GOLD         ,615963.9,21251,PRECIOUS METAL PRODUCTS
23-Feb-16,GOLD         ,613147.65,20967,PRECIOUS METAL PRODUCTS
24-Feb-16,GOLD         ,796853.44,26926,PRECIOUS METAL PRODUCTS
25-Feb-16,GOLD         ,702820.61,23720,PRECIOUS METAL PRODUCTS
26-Feb-16,GOLD         ,762166.98,25839,PRECIOUS METAL PRODUCTS
